frame,ball_x,ball_y,dx,dy,distance,vx,vy,speed,made
38,598,936,228,336,406.0541835765271,420.0,2310.0,2347.871376374779,0
44,652,995,282,395,485.3339056773182,1620.0,1770.0,2399.437434066577,0
10,1239,203,869,-397,955.3899727336476,0,0,0,0
11,1186,170,816,-430,922.364353170698,-1590.0,-990.0,1873.018953454556,0
12,1135,145,765,-455,890.0842656737619,-1530.0,-750.0,1703.936618539551,0
13,1082,127,712,-473,854.7941272610616,-1590.0,-540.0,1679.1962362987836,0
14,1029,118,659,-482,816.4588170875492,-1590.0,-270.0,1612.7616066858734,0
15,974,117,604,-483,773.3724846411333,-1650.0,-30.0,1650.272704737008,0
16,919,124,549,-476,726.6202584569191,-1650.0,210.0,1663.3099530754935,0
17,867,140,497,-460,677.2067631085797,-1560.0,480.0,1632.1764610482533,0
18,815,165,445,-435,622.294142668883,-1560.0,750.0,1730.9246084101987,0
19,763,196,393,-404,563.6177782859586,-1560.0,930.0,1816.1773041198373,0
20,709,234,339,-366,498.8757360305269,-1620.0,1140.0,1980.9088823063014,0
21,657,281,287,-319,429.1037170661657,-1560.0,1410.0,2102.783869065007,0
22,604,335,234,-265,353.52651951444886,-1590.0,1620.0,2269.9118925632333,0
23,552,398,182,-202,271.89703933658416,-1560.0,1890.0,2450.652974209119,0
24,499,466,129,-134,186.00268815261785,-1590.0,2040.0,2586.4454372748714,0
27,405,547,35,-53,63.51377803280167,-2820.0,2430.0,3722.539455801644,0
37,244,671,-126,71,144.62710672622887,-4830.0,3720.0,6096.498995325103,0
38,226,734,-144,134,196.70282153543198,-540.0,1890.0,1965.62967010574,0
10,1239,203,869,-397,955.3899727336476,0,0,0,0
11,1186,170,816,-430,922.364353170698,-1590.0,-990.0,1873.018953454556,0
12,1135,145,765,-455,890.0842656737619,-1530.0,-750.0,1703.936618539551,0
13,1082,127,712,-473,854.7941272610616,-1590.0,-540.0,1679.1962362987836,0
14,1029,118,659,-482,816.4588170875492,-1590.0,-270.0,1612.7616066858734,0
15,974,117,604,-483,773.3724846411333,-1650.0,-30.0,1650.272704737008,0
16,919,124,549,-476,726.6202584569191,-1650.0,210.0,1663.3099530754935,0
17,867,140,497,-460,677.2067631085797,-1560.0,480.0,1632.1764610482533,0
18,815,165,445,-435,622.294142668883,-1560.0,750.0,1730.9246084101987,0
19,763,196,393,-404,563.6177782859586,-1560.0,930.0,1816.1773041198373,0
20,709,234,339,-366,498.8757360305269,-1620.0,1140.0,1980.9088823063014,0
21,657,281,287,-319,429.1037170661657,-1560.0,1410.0,2102.783869065007,0
22,604,335,234,-265,353.52651951444886,-1590.0,1620.0,2269.9118925632333,0
10,1211,292,841,-308,895.625479762607,0,0,0,0
11,1156,250,786,-350,860.4045560083931,-1650.0,-1260.0,2076.0780332155146,0
12,1101,218,731,-382,824.7939136535865,-1650.0,-960.0,1908.9525923919641,0
13,1048,194,678,-406,790.2657780772238,-1590.0,-720.0,1745.4225849346628,0
14,993,177,623,-423,753.0325358176764,-1650.0,-510.0,1727.0205557549104,0
15,940,167,570,-433,715.8135232027962,-1590.0,-300.0,1618.054387219416,0
16,886,165,516,-435,674.8933249040177,-1620.0,-60.0,1621.1107303327556,0
17,833,170,463,-430,631.8773615188314,-1590.0,150.0,1597.0597985047398,0
18,779,184,409,-416,583.3840930296266,-1620.0,420.0,1673.5590817177624,0
19,726,205,356,-395,531.7527620990793,-1590.0,630.0,1710.263137648707,0
20,673,234,303,-366,475.14734556766706,-1590.0,870.0,1812.4568960391857,0
21,621,271,251,-329,413.81396786478825,-1560.0,1110.0,1914.601786273062,0
22,570,315,200,-285,348.1738071710737,-1530.0,1320.0,2020.7176942858694,0
23,518,367,148,-233,276.0307953834137,-1560.0,1560.0,2206.1731573020284,0
24,467,425,97,-175,200.08498194517247,-1530.0,1740.0,2317.0023737579554,0
25,416,491,46,-109,118.30891766895681,-1530.0,1980.0,2502.258979402412,0
12,1240,315,870,-285,915.4916711800278,0,0,0,1
13,1180,280,810,-320,870.9190547921202,-1800.0,-1050.0,2083.866598417471,1
14,1120,252,750,-348,826.8034833018062,-1800.0,-840.0,1986.3534428696219,1
15,1061,233,691,-367,782.4129344534125,-1770.0,-570.0,1859.5160660774081,1
16,1001,223,631,-377,735.0442163570842,-1800.0,-300.0,1824.8287590894658,1
17,942,220,572,-380,686.7197390493446,-1770.0,-90.0,1772.2866585290315,1
18,884,225,514,-375,636.2554518430471,-1740.0,150.0,1746.4535493393462,1
19,826,237,456,-363,582.8421741775384,-1740.0,360.0,1776.8511473953017,1
20,768,257,398,-343,525.4074609291345,-1740.0,600.0,1840.543398021356,1
21,710,284,340,-316,464.1723817721171,-1740.0,810.0,1919.2967462067975,1
22,652,318,282,-282,398.8082245892128,-1740.0,1020.0,2016.9283576765934,1
23,594,360,224,-240,328.2925524589311,-1740.0,1260.0,2148.301654796179,1
24,536,411,166,-189,251.54919995897424,-1740.0,1530.0,2317.0023737579554,1
26,422,532,52,-68,85.60373823613078,-3420.0,3630.0,4987.31390630267,1
29,322,710,-48,110,120.01666550941998,-3000.0,5340.0,6124.9979591833335,1
30,337,746,-33,146,149.68299836654796,450.0,1080.0,1170.0,1
31,352,792,-18,192,192.84190415985836,450.0,1380.0,1451.5164484083534,1
32,364,843,-6,243,243.0740627874558,360.0,1530.0,1571.7824276915683,1
33,378,904,8,304,304.1052449399714,420.0,1830.0,1877.578227398262,1
36,422,1026,52,426,429.1619740843776,1320.0,3660.0,3890.758280849634,1
37,446,984,76,384,391.44859177163994,720.0,-1260.0,1451.206394693739,1
12,1274,315,904,-285,947.8612767699713,0,0,0,0
13,1226,272,856,-328,916.6896966803979,-1440.0,-1290.0,1933.3132182861627,0
14,1174,237,804,-363,882.1479467753694,-1560.0,-1050.0,1880.4520733057782,0
15,1122,211,752,-389,846.6551836491642,-1560.0,-780.0,1744.133022449836,0
16,1070,194,700,-406,809.2193769306318,-1560.0,-510.0,1641.2495239907917,0
17,1017,184,647,-416,769.197633901717,-1590.0,-300.0,1618.054387219416,0
18,967,182,597,-418,728.7887210982343,-1500.0,-60.0,1501.1995203836163,0
19,916,186,546,-414,685.2094570275574,-1530.0,120.0,1534.6986674914394,0
20,862,200,492,-400,634.0851677811113,-1620.0,420.0,1673.5590817177624,0
21,812,220,442,-380,582.8927860250117,-1500.0,600.0,1615.5494421403512,0
22,760,247,390,-353,526.0313678859845,-1560.0,810.0,1757.7542490348303,0
23,708,285,338,-315,462.0270554848493,-1560.0,1140.0,1932.1490625725542,0
24,657,329,287,-271,394.72775428135276,-1530.0,1320.0,2020.7176942858694,0
25,606,382,236,-218,321.27869521647403,-1530.0,1590.0,2206.581065811995,0
26,555,442,185,-158,243.28789530101986,-1530.0,1800.0,2362.3928547132036,0
29,466,583,96,-17,97.49358953285082,-2670.0,4230.0,5002.179524967092,0
31,493,602,123,2,123.01625908797584,810.0,570.0,990.4544411531507,0
35,554,740,184,140,231.2055362658948,1830.0,4140.0,4526.42242836437,0
37,584,859,214,259,335.9717250007804,900.0,3570.0,3681.6979778357704,0
38,598,936,228,336,406.0541835765271,420.0,2310.0,2347.871376374779,0
44,652,995,282,395,485.3339056773182,1620.0,1770.0,2399.437434066577,0
45,656,965,286,365,463.7035691042285,120.0,-900.0,907.9647570252934,0
46,660,947,290,347,452.2267130544148,120.0,-540.0,553.1726674375732,0
47,664,936,294,336,446.46612413485525,120.0,-330.0,351.14099732158877,0
48,668,933,298,333,446.8702272472401,120.0,-90.0,150.0,0
51,678,984,308,384,492.26009385283305,300.0,1530.0,1559.134375222354,0
52,680,1021,310,421,522.820236792724,60.0,1110.0,1111.6204388189342,0
12,1274,315,904,-285,947.8612767699713,0,0,0,0
13,1226,272,856,-328,916.6896966803979,-1440.0,-1290.0,1933.3132182861627,0
14,1174,237,804,-363,882.1479467753694,-1560.0,-1050.0,1880.4520733057782,0
15,1122,211,752,-389,846.6551836491642,-1560.0,-780.0,1744.133022449836,0
16,1070,194,700,-406,809.2193769306318,-1560.0,-510.0,1641.2495239907917,0
17,1017,184,647,-416,769.197633901717,-1590.0,-300.0,1618.054387219416,0
18,967,182,597,-418,728.7887210982343,-1500.0,-60.0,1501.1995203836163,0
19,916,186,546,-414,685.2094570275574,-1530.0,120.0,1534.6986674914394,0
20,862,200,492,-400,634.0851677811113,-1620.0,420.0,1673.5590817177624,0
21,812,220,442,-380,582.8927860250117,-1500.0,600.0,1615.5494421403512,0
22,760,247,390,-353,526.0313678859845,-1560.0,810.0,1757.7542490348303,0
23,708,285,338,-315,462.0270554848493,-1560.0,1140.0,1932.1490625725542,0
24,657,329,287,-271,394.72775428135276,-1530.0,1320.0,2020.7176942858694,0
25,606,382,236,-218,321.27869521647403,-1530.0,1590.0,2206.581065811995,0
26,555,442,185,-158,243.28789530101986,-1530.0,1800.0,2362.3928547132036,0
29,466,583,96,-17,97.49358953285082,-2670.0,4230.0,5002.179524967092,0
31,493,602,123,2,123.01625908797584,810.0,570.0,990.4544411531507,0
35,554,740,184,140,231.2055362658948,1830.0,4140.0,4526.42242836437,0
37,584,859,214,259,335.9717250007804,900.0,3570.0,3681.6979778357704,0
38,598,936,228,336,406.0541835765271,420.0,2310.0,2347.871376374779,0
44,652,995,282,395,485.3339056773182,1620.0,1770.0,2399.437434066577,0
45,656,965,286,365,463.7035691042285,120.0,-900.0,907.9647570252934,0
12,1274,315,904,-285,947.8612767699713,0,0,0,0
13,1226,272,856,-328,916.6896966803979,-1440.0,-1290.0,1933.3132182861627,0
14,1174,237,804,-363,882.1479467753694,-1560.0,-1050.0,1880.4520733057782,0
15,1122,211,752,-389,846.6551836491642,-1560.0,-780.0,1744.133022449836,0
16,1070,194,700,-406,809.2193769306318,-1560.0,-510.0,1641.2495239907917,0
17,1017,184,647,-416,769.197633901717,-1590.0,-300.0,1618.054387219416,0
18,967,182,597,-418,728.7887210982343,-1500.0,-60.0,1501.1995203836163,0
19,916,186,546,-414,685.2094570275574,-1530.0,120.0,1534.6986674914394,0
20,862,200,492,-400,634.0851677811113,-1620.0,420.0,1673.5590817177624,0
21,812,220,442,-380,582.8927860250117,-1500.0,600.0,1615.5494421403512,0
22,760,247,390,-353,526.0313678859845,-1560.0,810.0,1757.7542490348303,0
23,708,285,338,-315,462.0270554848493,-1560.0,1140.0,1932.1490625725542,0
24,657,329,287,-271,394.72775428135276,-1530.0,1320.0,2020.7176942858694,0
25,606,382,236,-218,321.27869521647403,-1530.0,1590.0,2206.581065811995,0
26,555,442,185,-158,243.28789530101986,-1530.0,1800.0,2362.3928547132036,0
29,466,583,96,-17,97.49358953285082,-2670.0,4230.0,5002.179524967092,0
31,493,602,123,2,123.01625908797584,810.0,570.0,990.4544411531507,0
35,554,740,184,140,231.2055362658948,1830.0,4140.0,4526.42242836437,0
37,584,859,214,259,335.9717250007804,900.0,3570.0,3681.6979778357704,0
38,598,936,228,336,406.0541835765271,420.0,2310.0,2347.871376374779,0
44,652,995,282,395,485.3339056773182,1620.0,1770.0,2399.437434066577,0
45,656,965,286,365,463.7035691042285,120.0,-900.0,907.9647570252934,0
46,660,947,290,347,452.2267130544148,120.0,-540.0,553.1726674375732,0
47,664,936,294,336,446.46612413485525,120.0,-330.0,351.14099732158877,0
12,1274,315,904,-285,947.8612767699713,0,0,0,0
13,1226,272,856,-328,916.6896966803979,-1440.0,-1290.0,1933.3132182861627,0
14,1174,237,804,-363,882.1479467753694,-1560.0,-1050.0,1880.4520733057782,0
15,1122,211,752,-389,846.6551836491642,-1560.0,-780.0,1744.133022449836,0
16,1070,194,700,-406,809.2193769306318,-1560.0,-510.0,1641.2495239907917,0
17,1017,184,647,-416,769.197633901717,-1590.0,-300.0,1618.054387219416,0
18,967,182,597,-418,728.7887210982343,-1500.0,-60.0,1501.1995203836163,0
19,916,186,546,-414,685.2094570275574,-1530.0,120.0,1534.6986674914394,0
20,862,200,492,-400,634.0851677811113,-1620.0,420.0,1673.5590817177624,0
21,812,220,442,-380,582.8927860250117,-1500.0,600.0,1615.5494421403512,0
22,760,247,390,-353,526.0313678859845,-1560.0,810.0,1757.7542490348303,0
23,708,285,338,-315,462.0270554848493,-1560.0,1140.0,1932.1490625725542,0
24,657,329,287,-271,394.72775428135276,-1530.0,1320.0,2020.7176942858694,0
25,606,382,236,-218,321.27869521647403,-1530.0,1590.0,2206.581065811995,0
26,555,442,185,-158,243.28789530101986,-1530.0,1800.0,2362.3928547132036,0
29,466,583,96,-17,97.49358953285082,-2670.0,4230.0,5002.179524967092,0
31,493,602,123,2,123.01625908797584,810.0,570.0,990.4544411531507,0
35,554,740,184,140,231.2055362658948,1830.0,4140.0,4526.42242836437,0
37,584,859,214,259,335.9717250007804,900.0,3570.0,3681.6979778357704,0
38,598,936,228,336,406.0541835765271,420.0,2310.0,2347.871376374779,0
44,652,995,282,395,485.3339056773182,1620.0,1770.0,2399.437434066577,0
45,656,965,286,365,463.7035691042285,120.0,-900.0,907.9647570252934,0
46,660,947,290,347,452.2267130544148,120.0,-540.0,553.1726674375732,0
47,664,936,294,336,446.46612413485525,120.0,-330.0,351.14099732158877,0
48,668,933,298,333,446.8702272472401,120.0,-90.0,150.0,0
51,678,984,308,384,492.26009385283305,300.0,1530.0,1559.134375222354,0
52,680,1021,310,421,522.820236792724,60.0,1110.0,1111.6204388189342,0
12,1274,315,904,-285,947.8612767699713,0,0,0,0
13,1226,272,856,-328,916.6896966803979,-1440.0,-1290.0,1933.3132182861627,0
14,1174,237,804,-363,882.1479467753694,-1560.0,-1050.0,1880.4520733057782,0
15,1122,211,752,-389,846.6551836491642,-1560.0,-780.0,1744.133022449836,0
16,1070,194,700,-406,809.2193769306318,-1560.0,-510.0,1641.2495239907917,0
17,1017,184,647,-416,769.197633901717,-1590.0,-300.0,1618.054387219416,0
18,967,182,597,-418,728.7887210982343,-1500.0,-60.0,1501.1995203836163,0
19,916,186,546,-414,685.2094570275574,-1530.0,120.0,1534.6986674914394,0
20,862,200,492,-400,634.0851677811113,-1620.0,420.0,1673.5590817177624,0
21,812,220,442,-380,582.8927860250117,-1500.0,600.0,1615.5494421403512,0
22,760,247,390,-353,526.0313678859845,-1560.0,810.0,1757.7542490348303,0
23,708,285,338,-315,462.0270554848493,-1560.0,1140.0,1932.1490625725542,0
24,657,329,287,-271,394.72775428135276,-1530.0,1320.0,2020.7176942858694,0
25,606,382,236,-218,321.27869521647403,-1530.0,1590.0,2206.581065811995,0
26,555,442,185,-158,243.28789530101986,-1530.0,1800.0,2362.3928547132036,0
29,466,583,96,-17,97.49358953285082,-2670.0,4230.0,5002.179524967092,0
31,493,602,123,2,123.01625908797584,810.0,570.0,990.4544411531507,0
35,554,740,184,140,231.2055362658948,1830.0,4140.0,4526.42242836437,0
37,584,859,214,259,335.9717250007804,900.0,3570.0,3681.6979778357704,0
38,598,936,228,336,406.0541835765271,420.0,2310.0,2347.871376374779,0
44,652,995,282,395,485.3339056773182,1620.0,1770.0,2399.437434066577,0
45,656,965,286,365,463.7035691042285,120.0,-900.0,907.9647570252934,0
46,660,947,290,347,452.2267130544148,120.0,-540.0,553.1726674375732,0
47,664,936,294,336,446.46612413485525,120.0,-330.0,351.14099732158877,0
48,668,933,298,333,446.8702272472401,120.0,-90.0,150.0,0
51,678,984,308,384,492.26009385283305,300.0,1530.0,1559.134375222354,0
52,680,1021,310,421,522.820236792724,60.0,1110.0,1111.6204388189342,0
